Name,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
Crossword,Male,green; blue,fish; milk,Dislikes only cheese,1,None,None,Siamese,777f6fc-e0687a41-9e95861a-bbb99b9b,Siamese,Lex,2/16/2025 6:24:0 am,668,Male,Mixed Breed,926,false,true,41.9006479481642,11,Shu-Hui,Brunei,"Thank you for adopting this pet from me (Lex)! //  // Once you adopt a pet, it's yours to do whatever with (brexing etc) unless it is a hexie; in that case, please get my permission before brexing it. //  // I'd prefer it if you didn't delete any pets you got from me. If you no longer want a pet, please return it to me, MPA it, or resell it (only resell if you bought it from me on a place like Whiskerwick). //  // My show prefix is Lex's.",87,13,90,46,9,33,89,37,30,29,21,27,89,41,90,6,100,13,20,21,16,23,18,39,0,26,0,43,34,33,47,12,0,11,1,0,100,37,0,38,50,34,50,12,Not spayed/neutered,None,Not pregnant
Crumbs,Male,red,turkey; milk,No food finickiness,01; 02,None,None,Siamese,54f3294-6ab2e43-ad29f237-c5792266,Siamese,Daniluv,12/2/2025 3:34:55 pm,665,Male,Mixed Breed,4560,false,true,96.3157894736842,15,Calpurnia,Octavia,,15,40,46,9,85,31,100,41,32,4,94,11,50,10,96,19,87,9,52,42,83,28,15,34,0,20,86,16,54,27,95,32,0,4,1,0,100,39,0,23,36,22,50,19,Not spayed/neutered,None,Not pregnant
Dice,Female,red; green,fish; milk,Only likes 1 flavor,1,None,None,B+W Shorthair,f62a85dc-405da64e-92d6a922-c5146694,Calico,Dahlia @ Spellbound,11/13/2025 6:19:25 pm,539,Female,Mixed Breed,5894,false,true,99.9660671869698,15,Jester143,Jester118,Prefix is Spellbound // No other rules :),86,10,11,2,3,30,95,36,4,20,52,20,50,13,54,30,87,21,2,32,100,31,100,37,0,38,0,32,70,28,46,44,0,40,1,0,100,43,0,14,34,1,50,26,Not spayed/neutered,None,Not pregnant
Duck,Male,red; blue,chicken; milk,No food finickiness,01; 10,None,None,Orange Shorthair,331f76ab-ce487c4c-8242b215-3465e41,Calico,KingHarry,7/25/2025 6:29:59 pm,374,Male,Mixed Breed,494,false,true,43.7246963562753,10,Joiner,Marker,"OW/S USED // - Cargo Bicolour B&W // - Black Mist Mutating Alley //  // BRED RULES // - Feel free to change name and gender // - Feel free to change eyelids or brex in any way // - If shown, prefix is King/King's // - Don't put up for download/auction/sale // - If you no longer want the pet, feel free to MPA! //  // HEXED RULES // - Feel free to change name and gender // - Don't edit/copy any of the code. Feel free to look if you're curious about how it works though! // - If shown, prefix is King/King's // - Don't put up for download/auction/sale // - If you no longer want the pet, ask me if it's okay to MPA (it probably is!) or send back to me. If I have been inactive for two months, feel free to MPA without asking. My email is pollypup@googlemail.com, Discord is KingHarry#9290",74,13,75,13,8,38,93,12,8,22,84,14,53,19,57,13,2,33,35,8,48,19,80,14,0,3,0,27,94,21,96,18,100,35,1,0,100,43,0,6,42,24,50,15,Not spayed/neutered,None,Not pregnant
Elkhart,Female,green; blue,milk; catnip; cheese,No food finickiness,1,None,None,Orange Shorthair,58faa124-c23de74f-887833c1-1d7d327b,Maine Coon,Becca@Sungraze,11/5/2024 3:10:9 pm,781,Female,Mixed Breed,26712,false,true,90.3825995807128,34,Bonsai,Anther,Overwrites Used: //  // Anisd's Devon Rex Calico // Amanda's Bicolor B&W // Silverfish's Textured Variation Oshie,20,27,90,13,14,19,8,22,27,46,3,44,91,23,87,37,91,13,10,23,44,24,15,41,0,39,0,21,5,37,90,24,49,28,1,0,100,29,0,11,59,9,50,16,Not spayed/neutered,None,Not pregnant
Ember,Female,red; green,chicken; turkey; milk; catnip,No food finickiness,01; 17,None,None,Chinchilla Persian,f3862536-2ba6174e-99a8258f-51959fb0,Chinchilla Persian,Buck@Medusa,7/28/2024 7:38:30 pm,558,Female,Mixed Breed,2904,false,true,80.9917355371901,14,China,Attaboy,"Thank you for adopting from Buck@Medusa! //  // ++++++++RULES++++++++ //  // 1. Keep Medusa in the showname if you show // 2. You may brex and/or make any changes that you like // 3. Please MPA, return or delete if you no longer want // 4. Do not put up for sale anywhere //  // +++++++++++++++++++++",96,25,19,23,6,15,91,27,31,9,4,31,95,18,90,44,93,14,16,13,46,18,7,46,0,40,0,41,66,5,37,26,82,35,1,0,100,29,0,28,93,7,50,40,Not spayed/neutered,None,Not pregnant
Emmitt,Male,red,fish; milk,No food finickiness,01; 20,None,None,B+W Shorthair,7c2d98ba-9b64f04c-b7b4b1c-48b9840,Persian,mazzew,11/12/2024 2:17:34 am,720,Male,Mixed Breed,634,false,true,69.2429022082019,10,Frisky16,Fiddle,"MAZZEW@MAZZEW'S EPIC BRED/HEXED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",86,35,83,14,16,22,63,31,39,14,0,31,99,16,92,5,100,43,9,25,68,32,8,21,0,24,0,22,91,22,85,22,0,40,1,0,100,13,0,38,61,29,50,19,Not spayed/neutered,None,Not pregnant
Fabiana,Male,red; yellow,chicken; turkey; soft; water,No food finickiness,01; 06,None,None,Tabby,c7861c5b-7f499842-8d98563e-86a1f745,Maine Coon,Becca@Sungraze,9/21/2024 4:16:21 am,648,Male,Mixed Breed,1548,false,true,86.3695090439277,12,Namby-Pamby,Abreu,,88,43,96,22,5,27,92,15,1,30,85,40,98,0,82,14,89,25,14,1,36,30,9,18,0,42,0,42,73,21,93,24,100,32,1,0,100,26,0,25,35,38,50,9,Not spayed/neutered,None,Not pregnant
Falsen,Male,green,chicken; milk; catnip,No food finickiness,01; 25,None,None,Orange Shorthair,aa3ae88-b266648-a9e9dfe-011df9b,B+W Shorthair,Becca@Sungraze,11/5/2024 3:10:42 pm,781,Male,Mixed Breed,26712,false,true,90.3825995807128,34,Bonsai,Anther,,51,27,100,13,14,19,31,22,8,46,3,44,86,23,87,37,82,13,10,23,65,24,12,41,0,39,0,21,6,37,98,11,0,45,1,0,100,35,0,13,48,18,50,16,Not spayed/neutered,None,Not pregnant
Fire,Female,red; yellow,fish; turkey,No food finickiness,1,(6) \resource\catz\mainecoon\mainestripe13.bmp | \resource\catz\mainecoon\mainestripe11.bmp | \resource\catz\mainecoon\maine13.bmp | \resource\catz\mainecoon\mainestripe16.bmp | \resource\catz\mainecoon\maine16.bmp | \resource\catz\mainecoon\mainestripe14.bmp,None,Chinchilla Persian,907d90fe-87c1684c-aa8adbf1-f4ff1411,Chinchilla Persian,Whimsy,12/5/2025 5:37:23 pm,384,Female,Mixed Breed,318,false,true,53.7735849056604,9,Lillith,Sail,Bred with the following OWs in: // queenie's relined chinchi // cargo smoke & tabby MC // cargo tabby recolors (leopard) // tea's paintball oshie //  // Keep Whimsy's as the prefix if showing. //  // Feel free to change name or gender. //  // Please return to me or MPA if no longer wanted. //  // Enjoy! Feel free to reach out if you have any questions/issues.,22,19,95,31,13,16,90,18,16,37,69,22,85,24,49,20,80,25,12,19,80,24,12,44,0,27,0,40,62,13,50,25,50,31,1,0,100,48,0,9,49,39,50,40,Not spayed/neutered,None,Not pregnant
Fuli,Female,blue,chicken,No food finickiness,4,None,None,Calico,a8a01fcb-7943384d-988bdb5e-9d8e799,Calico,Mako,11/29/2025 2:11:0 am,1,Female,Purebred,0,true,false,0,1,None,None,Adopted from the Petz Life Advent Calender 2025! //  // Rules: //  // 1. Keep Mako's in the prefix if you show. //  // 2. Feel free to MPA or delete. Please do not resell. //  // 3. Renaming/gender changing/minor brexing/trimming is fine. //  // 4. Please do not modify hexes without reaching out to me unless explicitly stated.,98,18,82,29,19,3,82,8,4,30,99,27,80,22,92,15,86,14,16,35,45,31,7,31,0,13,0,42,37,31,39,2,100,18,1,0,100,28,0,11,42,40,50,24,Not spayed/neutered,None,Not pregnant
Gamma,Female,green; yellow,chicken; fish; soft; water,Dislikes only cheese,1,(5) \resource\catz\autumnalstripe\autumnalfunfetti14.bmp | \resource\catz\autumnalstripe\autumnalfunfetti17.bmp | \resource\catz\autumnalstripe\autumnalfunfetti16.bmp | \resource\catz\autumnalstripe\autumnalfunfetti11.bmp | \resource\catz\autumnalstripe\autumnalfunfetti13.bmp,None,Tabby,ba66ea93-cbbb146-9046ad74-74fcfd2,Tabby,Nightwish,10/25/2024 1:36:39 pm,616,Female,Mixed Breed,9964,false,true,82.1156162183862,23,Cherri,Tiny Tom,"Thank you for adopting! //  // This pet was bred by Nightwish @ Wild Road //  // RULES //  // Bred petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Feel free to brex/gender swap/etc // - If no longer wanted, either MPA, return to me or delete //  // Brexed petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Gender swapping is okay, but please do not edit in any other way // - If no longer wanted, either MPA or return to me //  // Hexed petz // - If shown, keep Wild Road as the prefix, feel free to add your own // - Do not put up for download or resell // - Gender swapping is okay, but please do not edit in any other way // - If no longer wanted return to me",88,7,95,24,8,30,81,35,40,9,44,25,87,34,92,40,89,16,17,23,100,33,6,36,0,24,0,42,6,18,90,23,0,17,1,0,100,16,0,22,65,20,50,33,Not spayed/neutered,None,Not pregnant
Glitter,Female,red; yellow,fish; turkey; catnip,No food finickiness,1,None,None,B+W Shorthair,71837f-25bf44d-8fb7c8f8-da179cff,Persian,Amanda @ Cargo,2/15/2025 12:32:49 am,643,Female,Mixed Breed,1250,false,true,45.84,12,Nara,Ryu,SGCh. parents: // SGCh. Cargo's Decorating Heroes Nara // SGCh. Cargo's Life's Aspirations Ryu //  // tail shape from my wip longhair calico,85,18,53,35,15,17,5,31,16,27,93,26,85,19,95,40,89,22,11,1,57,33,11,16,0,1,50,31,53,41,86,18,50,29,1,0,100,39,0,22,41,45,50,3,Not spayed/neutered,None,Not pregnant
Gordon,Male,red; yellow,fish; milk,No food finickiness,01; 18,None,None,Chinchilla Persian,472475bc-5520b140-8a353ae-25f1e86d,Chinchilla Persian,Nebula @ Poppy Hill,10/1/2025 11:22:44 am,721,Male,Mixed Breed,314,false,true,26.7515923566879,9,Cataract,Gotham,"
SGCh EC's Senses Fail - Cataract - owned by Beth P250830263
UGCh  // X // UGCh Calluna's The Hero U Deserve - Gotham - P250905110 //  // - - - - - - //  // + no reselling or mpa'ing please! if no longer wanted, return to me or delete // + prefix poppyhill('s) for dogz, calluna('s) for catz // + free to sex change/brex bred petz unless stated otherwise // +  for hexies: please no touching code/rehexing, minus changing texture pathways.  //  // enjoy your new pet! ~ //  // x nebula @ poppy hill",51,29,91,24,12,26,91,32,56,39,69,21,89,11,88,24,91,27,10,32,68,29,15,21,0,35,86,20,34,19,38,26,0,35,1,0,100,32,0,13,43,46,50,16,Not spayed/neutered,None,Not pregnant
Gumdrop,Female,green,fish; turkey; soft,No food finickiness,1,(5) \resource\catz\autumnalstripe\autumnalfunfetti14.bmp | \resource\catz\autumnalstripe\autumnalfunfetti17.bmp | \resource\catz\autumnalstripe\autumnalfunfetti16.bmp | \resource\catz\autumnalstripe\autumnalfunfetti11.bmp | \resource\catz\autumnalstripe\autumnalfunfetti13.bmp,None,Chinchilla Persian,cfe67fed-ac84864b-abbe182c-f1e6d00,Chinchilla Persian,Whimsy,11/29/2025 11:21:58 pm,389,Female,Mixed Breed,318,false,true,82.3899371069182,9,Ruby Tuesday,Siegfried,OWs used: // queenie's relined chinchilla persian // funfetti autumnal tabby stripes //  // Keep Whimsy's as the prefix if showing. //  // Feel free to change name or gender. //  // Please return to me or MPA if no longer wanted. //  // Enjoy! Feel free to reach out if you have any questions/issues.,69,19,82,40,10,27,73,18,27,36,4,48,98,29,5,24,93,33,16,29,38,22,2,38,0,18,0,31,33,33,57,35,0,28,1,0,100,41,0,7,75,40,50,37,Not spayed/neutered,None,Not pregnant
Hairball,Female,red,fish; turkey; milk; catnip,No food finickiness,1,None,None,Siamese,9f9bc8ad-3bec6e41-b1ff220-4799cc48,Siamese,Tea,12/1/2025 7:35:0 pm,684,Female,Mixed Breed,6884,false,true,99.883788495061,20,Snow Queen,Colin,"Bred Petz (Excluding special lines such as the Red Rising Goldies): //  // Feel free to brex, hex, rename, gender swap, MPA or delete! //  // Hexed Petz: //  // Please do not alter the pet in any way and please return if no longer wanted.",46,18,87,15,58,27,47,24,8,41,53,30,94,24,49,12,45,14,5,37,64,13,0,36,0,37,0,47,89,44,98,22,0,29,1,0,100,31,0,23,67,15,50,27,Not spayed/neutered,None,Not pregnant
Halden,Female,red; yellow,milk; cheese,No food finickiness,01; 03,(7) \resource\textures\qtabby\qtabby5_blank.bmp | \art\textures\stripe3.bmp | \resource\textures\qtabby\qtabby5_leg4.bmp | \resource\textures\qtabby\qtabby5_leg3.bmp | \resource\textures\qtabby\qtabby5_body1.bmp | \resource\textures\qtabby\qtabby5_leg2.bmp | \resource\textures\qtabby\qtabby5_leg1.bmp,depthcat,Maine Coon,8369ecb8-697cdc43-9a801af3-e23aa44c,Honey Bear,Becca@Sungraze,5/13/2025 4:21:59 pm,826,Female,Mixed Breed,34316,false,true,91.2023545867817,42,Tide,Drawn,"Thank you for adopting! If you have any furfile/OW/misc questions, feel free to email me at sungrazepeak@yahoo.com or send me a discord message @boglash. //  // My prefix is 'Sungraze' if you want to use it, but it's not necessary. No rules! Do whatever you want with this pet. Though I would absolutely love if this pet was bred to spread the Petz love <3 //  // Check out my website for my crew and more adoptions!  //  // https://sungrazepeak.neocities.org/ //  // OWs used for this pet are: //  // ",92,34,59,9,6,22,88,40,34,39,88,23,32,16,7,40,80,28,85,37,75,8,12,39,0,37,0,42,54,32,54,26,0,22,1,0,100,14,0,45,68,12,50,16,Not spayed/neutered,None,Not pregnant
Hanzawa,Male,red; yellow,cheese; soft; water,No food finickiness,03; 23,None,None,B+W Shorthair,45b84027-3fd1a940-a3233e3-80114cd7,B+W Shorthair,Becca@Sungraze,8/27/2024 1:32:50 am,797,Male,Mixed Breed,1574,false,true,69.1867852604828,13,Moonlight,Vivendi,,67,27,93,24,48,21,100,43,56,25,93,10,0,16,98,33,100,11,14,23,57,23,20,13,7,10,0,18,54,21,52,30,100,9,1,0,100,42,0,27,50,40,50,23,Not spayed/neutered,None,Not pregnant
hardship,Male,green; blue,chicken; milk; catnip; soft; water,Dislikes only cheese,1,None,None,Russian Blue,347a96f9-212ff44-bc920db-e63ad32f,Egyptian Mau,Lilibet,6/28/2025 9:33:49 am,719,Male,Mixed Breed,5670,false,true,95.0793650793651,17,Nori,Yuzu,"bred by lilibet, ow-free.",57,37,91,17,15,6,85,38,0,22,83,36,88,23,6,9,89,33,4,16,80,26,10,16,0,12,0,16,83,50,63,5,46,13,1,0,100,11,0,38,30,5,50,29,Not spayed/neutered,None,Not pregnant
Hisser_Dam,Male,yellow,turkey; milk,No food finickiness,1,None,None,Chinchilla Persian,d4cdc38-8ca28b49-94d6d4ac-7f11834,Tabby,Bird,8/21/2019 8:11:9 pm,3,Male,Mixed Breed,6,false,false,0,3,Sylvana,Kenan,Totally a Trickster // Tree: Line 1 //  // Hisserdam was born right after Bird's thoughttrain passed the hooverdam. Not sure how this happened. Hisser seems to like the yarnball and does cool tricks when you wave treatsies. //  // -Bird @ Nestofpetz@gmail.com // bla bla prefix Bird bla bla ,33,5,84,13,0,25,97,14,13,18,31,32,48,21,92,42,94,26,4,32,54,14,13,39,0,18,0,26,54,24,89,24,100,7,1,0,100,26,0,25,45,47,50,11,Not spayed/neutered,None,Not pregnant
Homebody4,Female,red; blue,fish; milk,No food finickiness,1,(6) \resource\catz\stripe\stripe14_black.bmp | \resource\catz\stripe\maine9_black.bmp | \resource\catz\stripe\stripe17_black.bmp | \resource\catz\stripe\stripe16_black.bmp | \resource\catz\stripe\stripe11_black.bmp | \resource\catz\stripe\stripe13_black.bmp,None,Persian,fcc344ea-47cde24b-9439c4cc-bce201f,Persian,Elizabeth,10/2/2025 9:59:20 pm,653,Female,Mixed Breed,2020,false,true,46.4851485148515,14,Helvetica,Gumballz,,95,23,6,36,93,22,86,29,19,15,88,24,86,4,92,5,87,19,52,33,70,20,100,33,75,35,0,39,68,34,43,41,64,4,1,0,100,45,0,16,48,29,50,38,Not spayed/neutered,None,Not pregnant
Homebody4_2,Male,red; green,milk; cheese,No food finickiness,1,(4) \resource\textures\tabbyplus\blktab24.bmp | \resource\textures\tabbyplus\blktab16.bmp | \resource\textures\tabbyplus\blktab11.bmp | \resource\textures\tabbyplus\blktab13.bmp,None,B+W Shorthair,598f64f9-4183f94b-8a322c18-cb848c53,Persian,lacey,8/10/2024 4:16:4 am,717,Male,Mixed Breed,1330,false,true,72.3308270676692,15,tilly,yam,,88,46,17,15,11,29,92,29,7,30,74,9,72,4,95,21,88,8,8,34,30,24,13,34,6,28,0,40,58,23,47,26,0,32,1,0,100,24,0,28,30,8,50,41,Not spayed/neutered,None,Not pregnant
Homebody6,Female,red; yellow,fish; milk,No food finickiness,1,None,None,Persian,87d870e0-e760ee4f-9df430e9-2b138068,Persian,Elizabeth,10/2/2025 9:59:41 pm,613,Female,Mixed Breed,1146,false,true,45.9860383944154,11,Toaster,Gumballz,,94,10,6,34,97,43,92,20,91,8,87,20,93,32,16,23,54,39,14,23,45,26,2,26,0,34,0,28,100,36,81,35,100,19,1,0,100,37,0,12,55,11,50,29,Not spayed/neutered,None,Not pregnant
Honeycomb,Female,green,fish; turkey,No food finickiness,1,(6) \resource\catz\mainecoon\mainestripe13.bmp | \resource\catz\mainecoon\mainestripe11.bmp | \resource\catz\mainecoon\maine13.bmp | \resource\catz\mainecoon\mainestripe16.bmp | \resource\catz\mainecoon\maine16.bmp | \resource\catz\mainecoon\mainestripe14.bmp,None,Siamese,ec7cb1cd-2cfa2c49-a1913e59-a084154a,Siamese,Tea,11/8/2024 1:22:7 am,682,Female,Mixed Breed,53840,false,true,99.2644873699852,43,Gemini,Cinnabar,,90,18,90,31,4,7,95,28,98,0,97,19,85,1,81,28,85,14,10,16,64,10,16,49,0,42,0,38,46,29,52,14,100,13,1,0,100,49,0,14,59,45,50,5,Not spayed/neutered,None,Not pregnant
Hopper,Male,yellow; blue,chicken; milk; soft,No food finickiness,1,None,None,Calico,6b20edfa-6ffdb4a-94ec6e49-474d30d1,Calico,Prism,4/26/2023 8:46:39 pm,376,Male,Mixed Breed,3504,false,true,55.9360730593607,18,Pikachu,Mocha,,57,29,15,6,13,26,90,13,59,7,56,18,57,20,90,22,88,32,12,5,44,24,10,43,23,20,41,27,54,25,61,6,0,1,1,0,100,19,0,20,46,7,50,21,Not spayed/neutered,None,Not pregnant
Iconic,Female,red; blue,fish,No food finickiness,1,None,None,Tabby,1553783-9bcbf840-83455e77-f85f20ea,Tabby,chausiie,6/26/2024 9:31:28 am,692,Female,Mixed Breed,636,false,true,74.3710691823899,11,Jester68,Nogales,.;* thank you for adopting!! //  // rules: // *feel free to rename / change gender / brex // *please keep chau's in the prefix if shown <3 // *respectfully mpa or send back to me if they're not a right fit. do not resell or auction! deleting is okay too :9 //  // caffeinecat.0@gmail.com // -- chausiie :) .;* ,96,17,80,25,7,28,100,26,3,35,92,11,87,16,81,40,94,37,17,34,68,17,15,30,0,5,0,27,35,49,61,14,100,13,1,0,100,25,0,26,53,34,50,21,Not spayed/neutered,None,Not pregnant
Icy,Female,red; green,milk; soft,No food finickiness,1,None,None,Orange Shorthair,b7c63f9-e8e57b46-83bd7b12-3ccbccde,Alley Cat,Bard,6/6/2021 11:56:48 am,536,Female,Mixed Breed,1590,false,true,74.9056603773585,12,Firebrand,Odyssey,,63,27,56,36,42,35,45,24,41,19,84,22,90,16,43,23,91,32,5,12,70,14,15,46,56,30,0,11,42,17,85,21,0,22,1,0,100,18,0,8,65,12,50,30,Not spayed/neutered,None,Not pregnant
Ida,Male,green,cheese,No food finickiness,1,(4) \resource\catz\tabby\LWHTabby55Classic.bmp | \resource\catz\tabby\LWHTabby55Hstripes.bmp | \resource\catz\tabby\LWHTabby55Mackerel.bmp | \resource\catz\tabby\LWHTabby55Barring.bmp,None,Maine Coon,75b07fd6-abe0f4a-a6e8a0e0-8e467fa,Honey Bear,Alexzander,5/28/2021 11:51:45 am,1,Male,Purebred,0,true,false,0,1,None,None,,5,38,50,12,12,22,47,8,18,38,6,36,81,31,95,13,96,36,0,27,0,43,16,45,0,28,0,11,30,12,7,38,100,28,1,0,100,28,0,7,37,5,50,27,Not spayed/neutered,None,Not pregnant
Jamaal,Female,green; yellow,chicken; fish; soft; water,No food finickiness,1,None,None,B+W Shorthair,638fc7bc-60989445-b7a69074-18cf648e,Persian,Mazzew@Mazzew,12/10/2023 7:9:28 pm,799,Female,Mixed Breed,290,false,true,63.7931034482759,9,Homebody7,Spangle,"MAZZEW@MAZZEW'S EPIC BRED/HEXED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",92,10,19,19,16,20,92,24,2,33,94,44,55,25,12,28,86,23,10,31,31,5,15,24,11,12,0,28,46,21,45,24,0,32,1,0,100,25,0,17,38,27,50,8,Not spayed/neutered,None,Not pregnant
James,Female,green; blue,fish; milk; catnip,Dislikes only cheese,1,None,None,Russian Blue,76b88926-8a2324a-9feab780-a8c63dd7,Egyptian Mau,Lilibet,10/29/2024 9:29:30 pm,718,Female,Mixed Breed,3082,false,true,85.2368591823491,16,Velvet,Nori,"bred by lilibet, ow-free.",100,31,85,38,12,29,84,33,100,9,52,39,48,31,100,33,93,29,7,15,77,31,9,25,0,35,0,23,83,50,86,11,46,9,1,0,100,23,0,43,30,27,50,21,Not spayed/neutered,None,Not pregnant
Janey,Female,red,catnip; cheese,No food finickiness,6,(1) \art\textures\stripe3.bmp,None,Tabby,e7bbcfe0-2b993348-a68dd8b-8979ed42,Tabby,RandomKitty92,12/2/2009 6:53:18 pm,154,Female,Mixed Breed,18192,false,true,99.9835092348285,33,Cougar,a4,(original breeder: RandomKitty92 (prefix: RK's)),73,13,91,22,5,27,91,34,9,37,83,9,15,43,4,30,46,19,15,15,34,28,17,7,0,48,0,26,50,3,30,5,0,26,1,0,100,35,0,5,31,19,50,37,Not spayed/neutered,None,Not pregnant
Jasper Jet Jewel,Female,red; blue,chicken; fish; soft; water,Only likes 1 flavor,1,None,None,Siamese,f8dfcdf6-18fcf64d-bdc5ee4e-541d4df9,Siamese,Tea,11/7/2024 6:23:8 pm,171,Female,Mixed Breed,5976,false,true,97.958500669344,24,Alabaster,Apparition,,92,48,48,16,53,38,88,30,45,14,71,23,13,34,13,24,2,20,81,11,98,17,7,20,98,17,0,11,51,34,99,39,100,14,1,0,100,30,0,43,67,30,50,28,Not spayed/neutered,None,Not pregnant
Jester14,Male,green; yellow,fish; cheese; soft; water,No food finickiness,1,(2) \resource\textures\tabbyplus\pfmtab21.bmp | \resource\textures\tabbyplus\pfmtab.bmp,None,Calico,3eafda40-70265f49-a2992f9-e11d3fb,Calico,Sinnie@Amphigory,8/11/2024 8:15:50 pm,805,Male,Mixed Breed,49080,false,true,98.8467807660962,25,Jester9,Jester187,,5,48,85,11,11,23,14,43,6,23,84,33,93,32,89,36,81,43,51,34,85,29,19,24,0,35,0,28,72,23,96,11,90,28,1,0,100,46,0,5,37,30,50,22,Not spayed/neutered,None,Not pregnant
Jester25,Male,green; yellow,chicken; fish,No food finickiness,20,None,None,Calico,2873dcd6-41d5a44-be61a6a0-2a18764a,Calico,Prism,10/5/2023 4:48:52 pm,9,Male,Mixed Breed,36,false,false,83.3333333333333,9,Sophisto,Snowball15,,10,41,100,7,58,35,96,35,13,3,65,17,17,37,3,20,46,32,82,25,68,18,1,21,13,23,96,44,64,32,67,17,50,26,1,0,100,29,0,21,40,4,50,16,Not spayed/neutered,None,Not pregnant
Kumquat,Female,green; pink,chicken; turkey; catnip,No food finickiness,1,None,None,Chinchilla Persian,a3bee547-86cdf54b-883f657f-b37ee3ba,Chinchilla Persian,Angora,5/11/2025 12:46:59 am,811,Female,Mixed Breed,884,false,true,99.7737556561086,13,Scaredy3,Snowball2,,13,20,86,32,51,23,80,17,34,12,90,43,12,18,87,34,82,35,15,33,49,47,6,28,0,19,0,28,8,28,95,23,0,25,1,0,100,26,0,10,41,34,50,1,Not spayed/neutered,None,Not pregnant
Larky,Male,red,fish; catnip,No food finickiness,1,None,None,Persian,3e396437-e44b8646-8ced4cd5-12b28679,Honey Bear,Mazzew@Mazzew,11/20/2023 3:1:0 am,729,Male,Mixed Breed,958,false,true,99.7912317327766,11,Honey173,Honey168,"MAZZEW@MAZZEW'S EPIC BRED/HEXED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",12,41,87,14,15,40,54,27,20,19,10,21,20,10,82,30,98,23,17,33,68,35,15,20,0,47,0,0,58,0,32,31,0,0,1,0,100,20,0,40,58,28,50,44,Not spayed/neutered,None,Not pregnant
Lezvia,Female,red,fish; milk; catnip,No food finickiness,01; 06,None,None,Unknown,6d6bc75a-683ff94e-9dec2663-f793e4a0,Japanese Bobtail,Helen,1/11/2025 8:32:28 pm,775,Female,Mixed Breed,666,false,true,46.996996996997,11,Ransom,Rihanne,,54,26,88,8,12,16,56,35,96,19,87,27,98,12,80,33,82,16,15,3,38,13,14,17,0,18,0,37,52,30,89,42,90,30,1,0,100,32,0,36,58,37,50,24,Not spayed/neutered,None,Not pregnant
Lilia,Male,red,fish,No food finickiness,1,None,None,Persian,a239b4c3-1e41d74b-9ca68976-b92ed66a,Siamese,Mazzew@Mazzew,11/4/2023 10:17:28 pm,339,Male,Mixed Breed,36816,false,true,95.8849413298566,37,Homebody29,Duckie,"MAZZEW@MAZZEW'S EPIC BRED CAT //  // feel free to brex these cats to your hearts desire. if you no longer want them, an MPA is very much preffered or you can send back to luckymazzew@gmail.com. prefix is just mazzew. ENJOy!!!",98,28,93,20,53,21,90,17,12,40,91,29,90,12,99,21,98,18,14,17,68,10,4,39,0,39,0,30,40,22,11,10,0,22,1,0,100,1,0,37,46,41,50,16,Not spayed/neutered,None,Not pregnant
