Name,BigPic,Gender,Favorite Color,Favorite Flavor,Food Finickiness,Signature Moves,External Texture List,Palette,Breed Face,GUID,Breed Personality,Owner Name,Adoption Date,Generations,Gender,Blood Status,Ancestors,Full Tree,Tree Trimmed,Inbred %,Generations Stored in Tree,Mom,Dad,Profile Comment,Liveliness Center,Liveliness Range,Playfulness Center,Playfulness Range,Independence Center,Independence Range,Confidence Center,Confidence Range,Naughtiness Center,Naughtiness Range,Acrobaticness Center,Acrobaticness Range,Patience Center,Patience Range,Kindness Center,Kindness Range,Nurturing Center,Nurturing Range,Finickiness Center,Finickiness Range,Intelligence Center,Intelligence Range,Messiness Center,Messiness Range,Quirkiness Center,Quirkiness Range,Insanity Center,Insanity Range,Constitution Center,Constitution Range,Metabolism Center,Metabolism Range,Dogginess Center,Dogginess Range,LoveDestiny Center,LoveDestiny Range,Fertility Center,Fertility Range,LoveLoyalty Center,LoveLoyalty Range,Libido Center,Libido Range,OffspringSex Center,OffspringSex Range,Is Neutered?,With Child?,Is Pregnant?
Immortelle,,Female,blue,turkey,Only likes 1 flavor,1,(3) \resource\catz\allegoria.bmp | \resource\catz\allegoriamid.bmp | \resource\catz\allegoriasml.bmp,floral,Siamese,81f9341e-0a2ff4a-8a8ea394-c629c4c1,Siamese,hoodie,5/23/2025 3:44:8 pm,1,Female,Purebred,0,true,false,0,1,None,None,,6,29,20,38,96,34,83,23,39,20,93,21,6,11,10,23,17,29,97,13,94,25,12,26,10,12,0,17,45,35,92,26,0,28,1,0,100,30,0,27,58,24,50,11,Not spayed/neutered,None,Not pregnant
Iris,,Female,yellow,cheese; bone,No food finickiness,1,None,ate,Chihuahua,2997cba1-6121f540-be0074-988b3e49,Chihuahua,Whimsy,6/22/2025 11:51:22 pm,1,Female,Purebred,0,true,false,0,1,None,None,Uses ate palette by queenie@phantasmagoria. //  // Keep Whimsy's as the prefix if showing. //  // Feel free to change name or gender. //  // Please return to me or MPA if no longer wanted. //  // Enjoy! Feel free to reach out if you have any questions/issues.,94,3,81,19,15,23,41,7,84,15,58,32,9,8,38,23,24,28,0,23,49,36,11,17,0,11,0,24,40,9,96,19,100,16,1,0,100,32,0,38,35,30,50,14,Not spayed/neutered,None,Not pregnant
Is this a Lemon,,Male,red,chicken,No food finickiness,1,(1) \resource\catz\milktea_goldglitter.bmp,None,Calico,3d505f27-189a946-92a7ac45-eef4d349,Calico,milktea,10/31/2024 3:57:31 pm,1,Male,Purebred,0,true,false,0,1,None,None,What is a vampire�s favorite fruit? //  // A blood orange.,84,2,81,19,18,39,91,19,12,28,83,22,100,30,90,37,98,45,6,14,36,36,10,16,0,22,0,28,43,28,64,22,0,16,1,0,100,39,0,29,64,5,50,17,Not spayed/neutered,None,Not pregnant
Jadefire,1,Female,yellow,fish,No food finickiness,1,None,cirrainbow2,Maine Coon,32c42a7-92b1fd49-ba4e6920-71b22f8e,Maine Coon,Angora,10/6/2025 3:38:47 pm,1,Female,Purebred,0,true,false,0,1,None,None,,94,35,17,45,2,28,91,24,13,38,80,39,88,42,97,4,85,42,3,1,100,23,4,23,0,38,0,12,95,21,88,33,90,11,1,0,100,26,0,15,61,15,50,18,Not spayed/neutered,None,Not pregnant
Jesus Rat,,Male,orange,cheese,No food finickiness,1,None,advent,Russian Blue,fe88f0ff-fafb144-80339f8-b1806b3f,Russian Blue,mazzew,10/13/2024 5:54:34 am,1,Male,Purebred,0,true,false,0,1,None,None,,98,17,92,1,6,19,100,9,69,3,44,31,85,41,99,12,81,21,2,12,44,38,8,17,0,15,0,38,44,28,34,26,0,27,1,0,100,25,0,14,33,34,50,23,Not spayed/neutered,None,Not pregnant
Ketchup,,Male,green,beef,No food finickiness,1,None,None,Sheepdog,ff39e4be-e78d7049-95356c8c-2fd12c93,Sheepdog,Audaxity,6/27/2025 2:20:38 am,1,Male,Purebred,0,true,false,0,1,None,None,"Rules: // -Hexed on Muttlie base by NatureNut, hosted by Megan@Oasis // -Prefix is Audaxity or TW // -No resell // -If no longer wanted, please MPA or return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord // -Minor fixes/name changes/gender swapping/etc are all fine! Pls feel free to ask about any bigger changes or if it's something you don'tk know how to change yourself! // -Enjoy!",8,14,95,39,34,24,32,10,48,27,63,36,14,2,83,30,87,17,0,36,58,11,18,34,0,37,0,21,95,21,52,33,100,28,1,0,100,19,0,27,53,9,50,44,Not spayed/neutered,None,Not pregnant
Kiba,,Male,blue,beef,No food finickiness,1,None,None,Labrador / Mutt,4edd8c1c-1a419d4e-97280e1-594ff842,Labrador,Megan@Xoops,11/21/2024 6:56:47 am,1,Male,Purebred,0,true,false,0,1,None,None,"-Do not alter or copy the coding, or claim as your own. Rerouting textures is fine. // -No redistributing, reselling, or file-sharing. // -Keep Xoops in the prefix for hexed petz if you plan to show. // -Do not MPA or delete - please return to me at xoops@fantazzled.com if you no longer want this pet. //  // Thank you! //  // -Megan @ Oasis & Xoops // http://www.oasis.fantazzled.com/ // http://www.xoops.fantazzled.com/ // http://www.shanty.fantazzled.com/",82,21,99,29,20,26,87,9,3,31,99,33,93,27,96,12,96,9,0,22,100,23,5,27,0,32,0,35,41,13,32,31,100,38,1,0,100,27,0,26,31,23,50,16,Not spayed/neutered,None,Not pregnant
Licorice,,Male,green; yellow,chicken; fish,No food finickiness,1,(5) \resource\catz\pastel\funfetti14.bmp | \resource\catz\pastel\funfetti17.bmp | \resource\catz\pastel\funfetti16.bmp | \resource\catz\pastel\funfetti11.bmp | \resource\catz\pastel\funfetti13.bmp,None,Unknown,9581b9fb-3b85a043-8a246c5c-5851f84c,Bunny,skissors,4/2/2025 10:33:14 pm,8,Male,Mixed Breed,254,false,false,0,8,7YZ - final,7VW - final,"hi, I'm one of skissors' sherbert bunnnies! //  // I was bred for Egg Hunt 2025 // I'm a full 8th gen NIB selective bred mixie, // created using 3 OW breeds: // Cargo Bicolor BWS // Funfetti Pastel Tabby // Meer's Better Bunny V2.1 - skissors edit //  // The bunny file used to breed me shares the same ID number as the original Bunny.cat, so I can be played with using that file. If you want to breed me, please use skissors' fixed edit of Meer's Better Bunny, or another bunny file that shares the same ID (1021/xFD03) //  // Additonal Rules: // * Prefix is CXB('z) or Checkerboard // * MPA is preferred, though deleting or returning is ok too. //  // --- skissors <3",6,32,97,36,16,35,82,20,25,24,93,6,86,21,87,30,93,28,20,11,33,34,7,20,4,15,0,17,40,38,97,19,100,1,1,0,100,19,0,30,57,39,50,41,Not spayed/neutered,None,Not pregnant
LifeNYECat,,Female,blue,fish,No food finickiness,12,None,None,Maine Coon,7b585e4d-814be4e-87197a80-5a163af2,Maine Coon,Prism,12/31/2024 8:42:4 pm,1,Female,Purebred,0,true,false,0,1,None,None,my testing rpfofile,91,26,2,26,19,30,99,9,6,10,88,20,94,30,98,42,94,3,8,22,100,2,14,28,20,35,0,20,91,30,99,40,88,12,1,0,100,13,0,41,54,22,50,13,Not spayed/neutered,None,Not pregnant
Lila,,Female,red,chicken,No food finickiness,1,(2) \resource\textures\035sprkC.bmp | \resource\textures\035whimsyA.bmp,lilacdream,Russian Blue,a3749b5b-cc129846-9a4c7f9-58f5c321,Egyptian Mau,Kris@Tanglewood,11/13/2024 1:14:59 am,1,Female,Purebred,0,true,false,0,1,None,None,,83,19,81,12,50,0,90,25,50,0,100,45,88,23,85,17,100,29,2,42,97,22,18,31,16,21,0,25,64,18,35,22,0,26,1,0,100,9,0,33,38,33,50,14,Not spayed/neutered,None,Not pregnant
Liverwort,,Female,green,fish; catnip,No food finickiness,20,None,autumn,Alley Cat,e66973-90105d49-98296df7-b69377e2,Persian,percy@smeuse,11/14/2024 7:2:30 pm,1,Female,Purebred,0,true,false,0,1,None,None,"thank you very much for adopting! //  // renaming, gender-swapping, rerouting textures, and small functional edits are all permitted (please ask me first regarding any appearance changes, including eye colour). //  // PLEASE NOTE: this pet requires a custom palette ('autumn' by queenie@phantasmagoria), as well as the updated petza by prism mirror lens (available at ratshack.neocities.org). //  // if at any time you no longer want your pet, please return to smeuses@gmail.com. if showing, please include smeuse's in the prefix. //  // most importantly, enjoy! :3",62,18,85,24,90,20,69,18,84,18,0,39,14,14,81,14,91,18,100,21,35,24,90,14,91,24,0,29,60,15,88,43,0,11,1,0,100,27,0,42,31,48,50,22,Not spayed/neutered,None,Not pregnant
Longan,,Female,blue,beef,No food finickiness,1,None,chroma,Labrador / Mutt,f7eeff7b-80323446-8475597-b5881a22,Mutt,Angora,7/13/2024 1:29:53 pm,1,Female,Purebred,0,true,false,0,1,None,None,,91,21,84,17,0,4,45,24,7,22,85,40,80,37,94,6,88,44,0,12,90,28,1,15,0,19,0,25,45,26,36,20,100,31,1,0,100,26,0,31,51,16,50,16,Not spayed/neutered,None,Not pregnant
Madagascar Sunset,,Female,green,beef; bone,No food finickiness,1,(2) \resource\dogz\pap\DAXBTRF35.bmp | \resource\dogz\pap\DAXBTRF38.bmp,None,Chihuahua,92bdd06b-d5e0a049-96e25db0-7dbdb95d,Papillon,Audaxity,4/13/2025 11:47:7 pm,1,Female,Purebred,0,true,false,0,1,None,None,Rules: // -Prefix is Audaxity or TW // -No resell  // -Feel free to reroute textures/make small modifications or ask me to // -Return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord if no longer wanted // -Enjoy!,87,23,99,34,10,14,36,25,86,38,58,25,8,25,67,27,16,35,0,10,70,8,11,27,0,36,0,26,64,24,97,25,100,28,1,0,100,21,0,12,43,15,50,24,Not spayed/neutered,None,Not pregnant
Magiczkit,,Male,green,turkey; soft,No food finickiness,1,(3) \resource\catz\zigzag.bmp | \resource\catz\zigzag.bmp | \resource\catz\zigzag.bmp,magicz,Chinchilla Persian,1de88761-81e9964a-a1bae543-38e85e11,Chinchilla Persian,Starfrost,9/6/2025 11:9:43 pm,1,Male,Purebred,0,true,false,0,1,None,None,Thank you for adopting a pet from me (Starfrost). You may rehome/rrename this pet. You may edit the eyes. Please keep Starfrost's as part of the show name. //  // This pet uses the magicz palette.,41,39,86,29,17,24,82,34,4,20,50,36,45,35,100,23,80,19,3,38,46,21,7,24,84,41,90,37,46,34,47,16,100,41,1,0,100,8,0,17,58,6,50,12,Not spayed/neutered,None,Not pregnant
Meeka,,Female,red,turkey,No food finickiness,1,(4) \Resource\Textures\MAINE4.bmp | \Resource\Textures\MAINE5.bmp | \Resource\Textures\GRASS.bmp | \Resource\Textures\SCOTT1.bmp,harvest,Calico,3623384f-9f312447-88651c1b-9947489,Calico,Hash//Billywix,12/3/2024 4:47:30 pm,1,Female,Purebred,0,true,false,0,1,None,None,"Please MPA or delete if no longer wanted, regardless of bred/hexed, please. ",86,17,100,2,10,19,94,33,4,33,86,44,88,39,82,32,91,3,4,15,34,24,15,27,0,19,0,15,60,29,65,24,0,30,1,0,100,16,0,20,57,39,50,5,Not spayed/neutered,None,Not pregnant
MerryXmasPrism,,Female,yellow,chicken; milk; catnip,No food finickiness,1,(1) \resource\textures\PL2024_1.BMP,dilute1,Orange Shorthair,b05858b7-bf65f641-9627d36a-5661c32,Orange Shorthair,AbbysPetz,12/25/2024 7:33:47 am,1,Female,Purebred,0,true,false,0,1,None,None,Merry Christmas! //  // Here's a little hexie for you. Uses the dilute1 palette. //  // Abby // https://www.dreamtyme.org/abbyspetz,80,33,87,6,17,29,2,18,17,26,12,40,94,37,90,18,99,11,1,25,34,16,5,35,0,21,0,21,4,44,84,32,0,30,1,0,100,20,0,10,43,22,50,39,Not spayed/neutered,None,Not pregnant
Mielikki,,Female,green,cheese,No food finickiness,1,None,accent,Unknown,407f292a-b294ec49-bb4bda6b-8217d937,Russian Blue,Kathy@Tabbloza,11/22/2025 6:56:9 am,1,Female,Purebred,0,true,false,0,1,None,None,"You are free to modify and adopt out as you please, or feel free to send back to me at tabbloza.com //  // Visit https://tabbloza.com/petz for more! //  // Prefix: Tabbloza",98,25,91,32,5,21,95,8,56,19,63,33,88,6,85,33,98,36,20,25,56,28,0,21,2,14,0,25,32,25,42,10,0,22,1,0,100,26,0,43,32,20,50,34,Not spayed/neutered,None,Not pregnant
Murky Lurky,,Male,green,beef,No food finickiness,1,None,eight,Unknown,b5564612-c4a4bd47-a84b65e4-f98aa2,Labrador,queenie,9/23/2024 8:15:18 am,1,Male,Purebred,0,true,false,0,1,None,None,,34,4,50,40,61,5,46,14,41,42,93,24,11,20,90,14,91,30,0,7,52,19,0,5,7,46,0,20,68,31,46,23,100,31,1,0,100,26,0,38,49,20,50,17,Not spayed/neutered,None,Not pregnant
Nashara,,Female,red,cheese,No food finickiness,1,None,desat,Unknown,1399cfe2-2ccd1b44-9ed1b342-423e18cb,Maine Coon,Megan@Xoops,12/5/2025 6:28:48 pm,1,Female,Purebred,0,true,false,0,1,None,None,"-Do not alter or copy the coding, or claim as your own. Rerouting textures is fine. // -No redistributing, reselling, or file-sharing. // -Keep Xoops in the prefix for hexed petz if you plan to show. // -Do not MPA or delete - please return to me at xoops@fantazzled.com if you no longer want this pet. //  // Thank you! //  // -Megan @ Oasis & Xoops // http://www.oasis.fantazzled.com/ // http://www.xoops.fantazzled.com/ // http://www.shanty.fantazzled.com/",91,33,7,15,4,30,81,26,11,34,85,18,92,20,92,20,96,26,16,24,100,44,10,7,0,27,0,46,97,13,80,28,87,21,1,0,100,28,0,4,67,20,50,40,Not spayed/neutered,None,Not pregnant
Nasturtium_Enjoyer,,Male,green,cheese,No food finickiness,1,None,None,Labrador / Mutt,884edb4-7715f546-8238cbcd-904f987d,Labrador,Teddidursa,5/21/2025 9:37:19 pm,1,Male,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,85,5,99,36,0,41,68,11,16,16,7,31,0,38,69,21,55,22,100,17,1,0,100,21,0,43,49,14,50,40,Not spayed/neutered,None,Not pregnant
Newlywed Prism,,Male,yellow,chicken; catnip,No food finickiness,1,(5) mottled2.bmp | mottled2.bmp | hair10.bmp | \resource\textures\wrings.bmp | \resource\textures\wroses.bmp,pinkchristmas,Unknown,3faa90a3-11f33541-a1a3969c-6a5db25c,Persian,hoodie,5/25/2025 12:9:19 am,1,Male,Purebred,0,true,false,0,1,None,None,,11,11,81,36,4,38,44,28,7,26,69,10,1,42,86,31,95,14,0,24,34,23,1,29,100,37,0,27,44,29,84,49,88,6,1,0,100,35,0,31,52,29,50,22,Not spayed/neutered,None,Not pregnant
NotaCow,,Female,black,cheese,No food finickiness,1,None,None,Bunny,bebbb771-e5cc7b4d-ae1a4891-a7a3d0aa,Bunny,Audaxity,3/24/2024 12:36:59 am,1,Female,Purebred,0,true,false,0,1,None,None,"-Prefix is Audaxity or Dax // -If no longer wanted, MPA or return to petzspiderbatz@gmail.com or CelestialEvolution/Audaxity on Discord // -Tweaking the file to fix mistakes/movement/etc is 100% fine, or asking me to make fixes/changes. // -Thanks for adopting! Enjoy! // -Hexed on Schafpanda's breedable bunny base V3",2,38,7,12,14,43,1,37,6,35,0,39,84,16,90,29,84,29,20,29,38,27,8,47,0,15,0,18,56,26,45,3,0,45,1,0,100,37,0,37,68,36,50,25,Spayed/Neutered,None,Not pregnant
Octomoon,,Male,blue,fish,No food finickiness,12,None,None,Russian Blue,3aa02ebd-3c9bd042-a05ead32-931f9e7a,Alley Cat,Mazzew,10/1/2023 12:21:43 am,1,Male,Purebred,0,true,false,0,1,None,None,,84,27,18,26,98,8,90,27,93,32,85,12,11,20,10,24,2,41,20,7,81,14,100,28,100,29,0,37,14,17,84,39,100,24,1,0,100,32,0,10,82,17,50,8,Not spayed/neutered,None,Not pregnant
Olive,,Female,pink,chicken,8Not naturally occurring value.,1,(2) \resource\textures\pizza1.bmp | \resource\textures\pizza2.bmp,None,Chihuahua,5c43ceaa-c4aab34d-9cdb4fcf-2a4c9d70,Poodle,SWKManda,7/5/2025 5:11:58 am,1,Female,Purebred,0,true,false,0,1,None,None,Thanks for adopting! //  // If showing my prefix is SWKM's //  // Bred Petz Rules // Is renaming okay?  Yes // Is gender swapping okay? Yes // Is brexing okay? Yes // What to do if no longer wanted? Delete or MPA // Are playdates okay? yes // Is palette swapping okay? Yes // Etc: Pretty much anything goes. //  // Hexed Petz Rules // Is renaming okay? Yes // Is gender swapping okay? Yes  // Is palette swapping okay? Maybe but ask me first. // What to do if no longer wanted? MPA or return to me please. // Are playdates okay? Yes // Etc: The best place to return anything to me would be through my email fentipetz@gmail.com or Discord please! //  // -SWKManda https://mandaspetzmiscellany.weebly.com/ //,15,6,18,25,92,48,97,32,7,29,10,32,12,43,19,11,86,15,99,40,96,30,18,45,0,37,0,24,64,6,55,16,100,27,1,0,100,23,0,18,40,16,50,20,Not spayed/neutered,None,Not pregnant
Pachinko,,Female,yellow,chicken,No food finickiness,1,None,None,Maine Coon,1e12ffa7-6b201442-8e12d75-d7de26e,Maine Coon,HashBillywix,11/19/2024 2:45:38 am,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,92,41,86,21,2,35,53,18,12,20,0,4,0,12,50,10,68,18,0,10,1,0,100,8,0,19,43,18,50,37,Not spayed/neutered,None,Not pregnant
Passionfruit,,Male,green,milk; catnip,Only likes 1 flavor,1,(3) \resource\textures\glass\nyeglass90.bmp | \resource\textures\glass\nyeglass89.bmp | \resource\textures\glass\nyeglass88.bmp,None,Persian,f1f1013-339ad74e-b27de6e-1d20e7a6,Persian,queenie,1/1/2024 3:17:56 am,1,Male,Purebred,0,true,false,0,1,None,None,,20,21,69,19,59,15,95,33,85,9,59,25,99,28,85,20,91,37,16,5,49,35,4,17,0,4,0,28,32,8,56,19,0,15,1,0,100,11,0,28,31,14,50,11,Not spayed/neutered,None,Not pregnant
PastelKat1,,Female,blue,cheese,No food finickiness,1,(7) \resource\catz\magicz.bmp | \resource\catz\232whimsyA.bmp | \resource\catz\cot44.bmp | \resource\catz\yellowz2.bmp | \resource\catz\willow5.bmp | \resource\catz\154whimsyC.bmp | \resource\catz\fairypowder9.bmp,None,Calico,4d2a74b8-4fe6f247-a01cb2a5-545493f,Tabby,Dew,5/22/2024 8:40:32 pm,1,Female,Purebred,0,true,false,0,1,None,None,,95,33,100,15,7,32,91,18,45,37,28,30,100,32,95,26,82,13,3,22,43,34,15,18,0,12,0,30,63,31,89,47,100,2,1,0,100,26,0,2,43,19,50,32,Not spayed/neutered,None,Not pregnant
Pearly,,Male,yellow,turkey; soft; water,No food finickiness,1,None,papercrane,B+W Shorthair,81baa189-4d494243-bfbce2eb-550c384,B+W Shorthair,hoodie,7/29/2025 7:50:20 pm,1,Male,Purebred,0,true,false,0,1,None,None,"hello, thank you for adopting! //  // please check out my petz policy below: // https://purrfume.neocities.org/policy //  // in short, bred petz = go wild // hexed petz pls refer to the link above //  // prefix is Perfume('s) if shown, you can either use it on it's own or combine it with yours! // any issues or questions pls contact me on discord (i'm hoodie in PL) //  // OWS I COMMONLY USE: // - sharon's poodley persian // - toto's halfie cali v2 // - amanda@cargo's bicolour bws // - tea's now with more mange alleycat // - amanda@cargo's smoke & tabby maine coon // - amanda@cargo's tabby colors & patterns OR torbie tabby // - silverfish's textured oshie",93,22,16,15,80,40,100,24,6,35,80,27,8,26,17,29,84,24,7,20,30,38,20,2,0,7,0,36,83,33,84,21,0,24,1,0,100,27,0,16,70,39,50,11,Not spayed/neutered,None,Not pregnant
PhantomPrism,,Male,yellow,cheese,No food finickiness,6,(7) \Resource\textures\transpatex\transpatex95A.bmp | \Resource\textures\transpatex\transpatex95B.bmp | \Resource\textures\transpatex\transpatex95C.bmp | \Resource\textures\transpatex\transpatex95A1.bmp | \Resource\textures\transpatex\transpatex95A2.bmp | \Resource\textures\transpatex\transpatex95A3.bmp | \Resource\textures\transpatex\transpatex95B1.bmp,sundown,Great Dane,137f2530-a15bc74f-bde7d753-652f563,Labrador,ShenzaiBird,10/24/2024 11:5:57 am,1,Male,Purebred,0,true,false,0,1,None,None,,67,35,35,21,15,23,59,11,2,28,85,22,50,0,47,35,95,17,0,15,100,14,16,27,0,24,0,3,38,24,39,7,100,28,1,0,100,28,0,15,48,29,50,21,Not spayed/neutered,None,Not pregnant
Pheasant,,Female,red; blue,chicken; fish; catnip,No food finickiness,1,(2) \resource\catz\mainecoon\maine13.bmp | \resource\catz\mainecoon\maine16.bmp,None,Unknown,722125a9-ff47754c-94f99b83-fe4befda,Alley Cat,Amanda @ Cargo,3/16/2025 2:57:22 am,645,Female,Mixed Breed,8944,false,true,77.3703041144902,19,Gerdie,Banjamin,bred with overwrites: // Phantasmagoria Honker conversion // Cargo Bicolor B+WS white markings // Cargo Smoke & Tabby Maine Coon coat,90,36,97,13,1,35,81,20,0,26,96,29,48,15,49,14,88,44,19,24,57,23,47,23,100,34,0,23,8,40,56,26,0,25,1,0,100,36,0,17,33,27,50,5,Not spayed/neutered,None,Not pregnant
Phthalo,,Male,yellow,milk; catnip,No food finickiness,1,None,None,Persian,5c58bc39-5366ef48-ba70c777-efd37a,Persian,Kieran @ Fractal,6/22/2024 9:46:23 pm,1,Male,Purebred,0,true,false,0,1,None,None,"RULES: // - Keep Fractal in the prefix if shown // - Return or MPA if no longer wanted // - Small fixes in LNZ are fine, but ask before making cosmetic changes //  // External textures, if any, will go in Resource/Catz or Resource/Dogz (depending on the species).",3,19,98,32,0,15,69,31,44,9,3,23,13,12,85,44,92,20,14,18,38,22,16,36,0,10,0,13,41,24,4,20,0,32,1,0,100,22,0,31,49,34,50,12,Not spayed/neutered,None,Not pregnant
Plum,,Female,red,cheese,No food finickiness,1,None,None,Calico,97922730-8a45e42-9cd02c63-b27add8c,Russian Blue,milktea,11/25/2024 10:14:47 pm,1,Female,Purebred,0,true,false,0,1,None,None,"- showing prefix is milktea // - playdates are allowed with trusted members // - name and gender changing is fine, but do not change or copy the coding, or claim as your own. // - no redistributing, or file-sharing // - do not put up for download, auction, sale, adoptions // - if you no longer want this pet, please return to me at merjben@gmail.com",81,34,91,13,14,26,98,18,74,16,66,33,86,31,100,42,82,35,18,25,50,38,4,13,0,17,0,23,38,41,37,29,0,29,1,0,100,20,0,17,67,20,50,23,Not spayed/neutered,None,Not pregnant
Pomelo,,Male,red,fish,No food finickiness,16,(11) \Resource\Catz\altfur36.bmp | \Resource\Catz\altfur36.bmp | \Resource\Catz\001whimsyF.bmp | \Resource\Catz\001whimsyF.bmp | \Resource\Catz\altfur14.bmp | \Resource\Catz\altfur28.bmp | \Resource\Catz\altfur14.bmp | \Resource\Catz\altfur36.bmp | \Resource\Catz\altfur36.bmp | \Resource\Catz\001babyzhair3TIGER1.bmp | \Resource\Catz\altfur36.bmp,None,Russian Blue,bef6ccaf-95824e49-ae3b8123-7145786,Russian Blue,Dew,8/23/2025 7:52:18 pm,1,Male,Purebred,0,true,false,0,1,None,None,"Hello! Thank you for adopting :) //  // You may MPA, brex, mess with codes, etc. // Please do not claim this work as your own :) // And if you need to send it somewhere and don't want to MPA, you may always return it to Dew @ mntndewluver@gmail.com",98,33,98,22,18,31,92,48,54,9,91,24,89,41,80,14,100,9,15,36,59,29,14,33,13,12,0,26,58,32,31,32,100,33,1,0,100,14,0,23,66,43,50,38,Not spayed/neutered,None,Not pregnant
Prairie,,Male,yellow,cheese,No food finickiness,15,(1) \Resource\Catz\easter\leef.bmp,None,Maine Coon,c6756771-b514d548-a1d012d3-bdd29a3c,Maine Coon,Megan@Xoops,3/22/2024 7:3:26 am,1,Male,Purebred,0,true,false,0,1,None,None,,82,15,7,23,17,16,90,7,13,30,95,25,94,17,90,18,87,27,15,31,100,14,15,18,0,36,0,19,100,11,100,28,85,30,1,0,100,30,0,15,40,32,50,32,Not spayed/neutered,None,Not pregnant
Pretzel,,Female,blue,milk,No food finickiness,19,None,baked,Russian Blue,eeaefc52-bd22ec44-8ccf647b-b5f3f8de,Russian Blue,Kris@Tanglewood,11/10/2025 9:40:34 pm,1,Female,Purebred,0,true,false,0,1,None,None,"Thank you for adopting a pet from me! I'm Kristina (EntwinedLove) of Tanglewood. Rules for adoption are quite simple: Once the pet is yours, it's yours. Except please don't resell (like on Pet Bazaar.) If you show, please use Tangled as a prefix!",50,0,50,0,50,0,50,0,50,0,50,0,50,0,94,37,97,23,17,10,38,33,0,16,0,28,0,32,43,28,57,6,0,14,1,0,100,20,0,20,36,20,50,37,Not spayed/neutered,None,Not pregnant
Primrose,,Female,yellow,beef,No food finickiness,1,None,None,Dalmatian,ed9c14d-5cc25544-9a74a527-d31019a3,Dalmatian,Catherine,5/2/2025 6:7:31 pm,1,Female,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,94,47,86,14,0,20,57,29,10,17,0,19,0,34,67,22,53,26,100,21,1,0,100,36,0,31,68,21,50,34,Not spayed/neutered,None,Not pregnant
Prism,,Male,yellow,fish; soft,No food finickiness,1,None,None,Chinchilla Persian,fcf237d9-dd247a42-bd4dc61b-e3fa888,Chinchilla Persian,Tea,10/24/2024 12:29:50 am,1,Male,Purebred,0,true,false,0,1,None,None,,49,5,96,15,16,23,98,25,10,18,58,42,45,42,100,23,84,30,15,23,47,37,14,33,94,29,95,13,67,6,48,27,0,23,1,0,100,38,0,28,55,14,50,24,Not spayed/neutered,None,Not pregnant
Prism2,,Male,green,fish; soft,No food finickiness,23,None,sun,Chinchilla Persian,ed3cc856-e9bd354e-b3465468-b8764131,Chinchilla Persian,Tea,10/27/2024 1:50:21 am,1,Male,Purebred,0,true,false,0,1,None,None,,62,27,87,30,2,14,82,18,18,31,92,40,66,21,100,38,91,25,13,16,50,43,20,30,61,13,94,31,30,30,51,23,0,16,1,0,100,17,0,16,58,13,50,24,Not spayed/neutered,None,Not pregnant
prismchampagne,,Female,blue,fish,No food finickiness,1,None,champagne,Calico,508d8ea5-45e3764f-b916136c-74f9809a,Calico,ahi tuna,1/1/2025 1:18:26 am,1,Female,Purebred,0,true,false,0,1,None,None,hexed by ahi tuna for NYE PetzParty 2024 //  // rules: // - no editing without permission // - please MPA or (preferably) return to myrtillocactus.geometrizans@gmail.com if no longer wanted // - use tuna's as a prefix if showing :-) //  // enjoy!!!,94,22,81,39,6,15,92,25,7,16,94,23,91,29,0,17,93,26,16,27,41,11,0,9,0,23,0,22,42,22,36,32,0,35,1,0,100,32,0,17,58,25,50,23,Not spayed/neutered,None,Not pregnant
PrismFromTea,,Female,red,chicken; soft,No food finickiness,1,None,None,B+W Shorthair,814cf4c9-1ee6584d-9c8cc4e3-da8479e8,Chinchilla Persian,Tea,1/1/2025 8:16:47 pm,1,Female,Purebred,0,true,false,0,1,None,None,,31,25,84,25,12,30,91,9,15,19,34,38,33,24,100,34,85,36,14,12,66,34,13,22,57,22,81,24,61,43,40,26,0,20,1,0,100,21,0,4,46,20,50,13,Not spayed/neutered,None,Not pregnant
prismnye,,Male,blue,cheese,No food finickiness,1,(4) \resource\textures\99yellow.bmp | \resource\textures\pinkstarry.bmp | \resource\textures\99yellow.bmp | \resource\textures\99yellow.bmp,None,B+W Shorthair,4870ce20-cf89e548-80368a18-9accf037,Chinchilla Persian,lacey,12/14/2024 5:38:3 am,1,Male,Purebred,0,true,false,0,1,None,None,,50,0,50,0,50,0,50,0,50,0,50,0,50,0,98,16,83,17,6,28,45,26,15,15,0,16,0,23,55,20,34,24,100,34,1,0,100,9,0,27,67,24,50,8,Not spayed/neutered,None,Not pregnant
PurrloinforSafariZone,,Female,green,milk; soft; water,No food finickiness,1,None,ate,B+W Shorthair,cbec299e-1e29ce47-8284ead4-55df58ef,B+W Shorthair,Melissa,5/18/2025 2:3:25 am,1,Female,Purebred,0,true,false,0,1,None,None,,80,22,0,12,100,31,100,24,17,23,90,21,18,27,8,44,95,8,14,4,32,12,0,23,19,21,0,36,80,23,95,20,0,39,1,0,100,29,0,34,69,9,50,19,Not spayed/neutered,None,Not pregnant
